Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2025-08-12,120172.90625,120302.46875,118228.71875,118717.6640625,72803657984
2025-08-13,123344.0625,123682.453125,118939.6328125,120168.9765625,90904808795
2025-08-14,118359.578125,124457.1171875,117254.8828125,123339.3984375,104055627395
2025-08-15,117398.3515625,119332.3125,116864.5703125,118365.78125,68665353159
2025-08-16,117491.3515625,117996.0625,117271.953125,117398.421875,48036922378
2025-08-17,117453.0625,118595.7734375,117279.5234375,117492.7890625,45852169525
2025-08-18,116252.3125,117614.171875,114723.6796875,117453.90625,72787808090
2025-08-19,112831.1796875,116764.5,112730.3984375,116241.859375,71657600353
2025-08-20,114274.7421875,114625.796875,112387.9609375,112828.0234375,67993811526
2025-08-21,112419.03125,114802.6484375,111986.234375,114275.6875,57817883700
2025-08-22,116874.0859375,117377.3984375,111678.9453125,112433.734375,82528088240
2025-08-23,115374.328125,116996.25,114536.109375,116866.3671875,55377142586
2025-08-24,113458.4296875,115615.0859375,111060.546875,115387.390625,73961489632
2025-08-25,110124.3515625,113637.84375,109324.28125,113456.8984375,85706860190
2025-08-26,111802.65625,112397.015625,108762.0390625,110124.1015625,69396320317
2025-08-27,111222.0625,112619.4140625,110398.265625,111795.7109375,62137056409
2025-08-28,112544.8046875,113450.078125,110900.921875,111219.0546875,58860155962
2025-08-29,108410.8359375,112619.0546875,107559.625,112550.5234375,77843379644
2025-08-30,108808.0703125,108929.3515625,107444.4453125,108409.40625,51486264208
2025-08-31,108236.7109375,109491.0,108104.65625,108818.4609375,47986191770
2025-09-01,109250.59375,109890.5859375,107271.1796875,108228.75,66870372995
2025-09-02,111200.5859375,111748.015625,108454.03125,109243.0703125,74776999491
2025-09-03,111723.2109375,112600.2265625,110582.9609375,111190.6953125,61119643565
2025-09-04,110723.6015625,112208.328125,109347.2265625,111718.1484375,60131132901
2025-09-05,110650.984375,113357.4921875,110233.3984375,110723.015625,60241647677
2025-09-06,110224.6953125,111275.015625,110024.0859375,110650.5703125,21500719036
2025-09-07,111167.6171875,111591.078125,110211.625,110221.328125,24618007520
2025-09-08,112071.4296875,112869.234375,110630.609375,111163.015625,40212813407
